"CVE_ID","Vulnerability_Summary","Vulnerability_Published_Date","Vulnerability_Published_Time","Vulnerability_Last_Modified_Date","Vulnerability_Last_Modified_Time","CVSS_Score","CVSS_Severity","CVSS_Access_Vector","CVSS_Access_Complexity","CVSS_Authentication","CVSS_Confidentiality_Impact","CVSS_Integrity_Impact","CVSS_Availability_Impact","CVSS_Generated_On_Date","CVSS_Generated_On_Time","CWE_ID_1","CWE_ID_1_Description","CWE_ID_2","CWE_ID_2_Description"
"CVE-2014-0001","Buffer overflow in client/mysql.cc in Oracle MySQL and MariaDB before 5.5.35 allows remote database servers to cause a denial of service (crash) and possibly execute arbitrary code via a long server version string.",2014-01-31,"19:55:04",2017-01-06,"22:59:14","7.5","HIGH","NETWORK","LOW","NONE","PARTIAL","PARTIAL","PARTIAL",2014-02-02,"21:10:48","CWE-119","Buffer Errors",NA,NA
"CVE-2014-0002","The XSLT component in Apache Camel before 2.11.4 and 2.12.x before 2.12.3 allows remote attackers to read arbitrary files and possibly have other unspecified impact via an XML document containing an external entity declaration in conjunction with an entity reference, related to an XML External Entity (XXE) issue.",2014-03-21,"01:38:59",2014-04-19,"00:45:51","7.5","HIGH","NETWORK","LOW","NONE","PARTIAL","PARTIAL","PARTIAL",2014-03-21,"11:58:02","CWE-264","Permissions, Privileges, and Access Control",NA,NA
"CVE-2014-0003","The XSLT component in Apache Camel 2.11.x before 2.11.4, 2.12.x before 2.12.3, and possibly earlier versions allows remote attackers to execute arbitrary Java methods via a crafted message.",2014-03-21,"01:38:59",2014-04-19,"00:45:51","7.5","HIGH","NETWORK","LOW","NONE","PARTIAL","PARTIAL","PARTIAL",2014-03-21,"11:58:57","CWE-264","Permissions, Privileges, and Access Control",NA,NA
"CVE-2014-0004","Stack-based buffer overflow in udisks before 1.0.5 and 2.x before 2.1.3 allows local users to cause a denial of service (crash) and possibly execute arbitrary code via a long mount point.",2014-03-11,"16:37:03",2016-12-30,"22:59:10","6.9","MEDIUM","LOCAL","MEDIUM","NONE","COMPLETE","COMPLETE","COMPLETE",2014-03-12,"15:20:58","CWE-119","Buffer Errors",NA,NA
"CVE-2014-0005","PicketBox and JBossSX, as used in Red Hat JBoss Enterprise Application Platform (JBEAP) 6.2.2 and JBoss BRMS before 6.0.3 roll up patch 2, allows remote authenticated users to read and modify the application sever configuration and state by deploying a crafted application.",2015-02-20,"12:59:00",2015-03-27,"22:59:08","3.6","LOW","LOCAL","LOW","NONE","PARTIAL","PARTIAL","NONE",2015-02-23,"11:19:23","CWE-264","Permissions, Privileges, and Access Control",NA,NA
"CVE-2014-0006","The TempURL middleware in OpenStack Object Storage (Swift) 1.4.6 through 1.8.0, 1.9.0 through 1.10.0, and 1.11.0 allows remote attackers to obtain secret URLs by leveraging an object name and a timing side-channel attack.",2014-01-22,"21:55:04",2014-03-08,"01:12:30","4.3","MEDIUM","NETWORK","MEDIUM","NONE","PARTIAL","NONE","NONE",2014-01-23,"14:31:05","CWE-200","Information Leak / Disclosure",NA,NA
"CVE-2014-0007","The Smart-Proxy in Foreman before 1.4.5 and 1.5.x before 1.5.1 allows remote attackers to execute arbitrary commands via shell metacharacters in the path parameter to tftp/fetch_boot_file.",2014-06-20,"10:55:06",2014-06-23,"10:45:10","7.5","HIGH","NETWORK","LOW","NONE","PARTIAL","PARTIAL","PARTIAL",2014-06-23,"10:45:10",NA,NA,NA,NA
"CVE-2014-0008","lib/adminlib.php in Moodle through 2.3.11, 2.4.x before 2.4.8, 2.5.x before 2.5.4, and 2.6.x before 2.6.1 logs cleartext passwords, which allows remote authenticated administrators to obtain sensitive information by reading the Config Changes Report.",2014-01-20,"11:14:25",2014-02-21,"01:06:06","4.0","MEDIUM","NETWORK","LOW","SINGLE_INSTANCE","PARTIAL","NONE","NONE",2014-01-22,"11:37:56","CWE-255","Credentials Management",NA,NA
"CVE-2014-0009","course/loginas.php in Moodle through 2.2.11, 2.3.x before 2.3.11, 2.4.x before 2.4.8, 2.5.x before 2.5.4, and 2.6.x before 2.6.1 does not enforce the moodle/site:accessallgroups capability requirement for outside-group users in a SEPARATEGROUPS configuration, which allows remote authenticated users to perform ""login as"" actions via a direct request.",2014-01-20,"11:14:32",2014-02-21,"01:06:06","5.5","MEDIUM","NETWORK","LOW","SINGLE_INSTANCE","PARTIAL","PARTIAL","NONE",2014-01-22,"11:37:19","CWE-264","Permissions, Privileges, and Access Control",NA,NA
"CVE-2014-0010","Multiple cross-site request forgery (CSRF) vulnerabilities in user/profile/index.php in Moodle through 2.2.11, 2.3.x before 2.3.11, 2.4.x before 2.4.8, 2.5.x before 2.5.4, and 2.6.x before 2.6.1 allow remote attackers to hijack the authentication of administrators for requests that delete (1) categories or (2) fields.",2014-01-20,"11:14:32",2016-04-06,"08:12:54","6.8","MEDIUM","NETWORK","MEDIUM","NONE","PARTIAL","PARTIAL","PARTIAL",2016-04-04,"16:26:27","CWE-352","Cross-Site Request Forgery (CSRF)",NA,NA
"CVE-2014-0012","FileSystemBytecodeCache in Jinja2 2.7.2 does not properly create temporary directories, which allows local users to gain privileges by pre-creating a temporary directory with a user's uid.  NOTE: this vulnerability exists because of an incomplete fix for CVE-2014-1402.",2014-05-19,"10:55:10",2015-12-14,"19:07:28","4.4","MEDIUM","LOCAL","MEDIUM","NONE","PARTIAL","PARTIAL","PARTIAL",2015-12-14,"14:35:49","CWE-264","Permissions, Privileges, and Access Control",NA,NA
"CVE-2014-0015","cURL and libcurl 7.10.6 through 7.34.0, when more than one authentication method is enabled, re-uses NTLM connections, which might allow context-dependent attackers to authenticate as other users via a request.",2014-02-01,"20:55:05",2016-12-02,"23:00:53","4.0","MEDIUM","NETWORK","HIGH","NONE","PARTIAL","PARTIAL","NONE",2016-07-08,"11:57:00","CWE-287","Authentication Issues",NA,NA
"CVE-2014-0016","stunnel before 5.00, when using fork threading, does not properly update the state of the OpenSSL pseudo-random number generator (PRNG), which causes subsequent children with the same process ID to use the same entropy pool and allows remote attackers to obtain private keys for EC (ECDSA) or DSA certificates.",2014-03-24,"13:31:08",2017-01-26,"16:00:06","4.3","MEDIUM","NETWORK","MEDIUM","NONE","PARTIAL","NONE","NONE",2017-01-26,"13:24:55","CWE-332","Insufficient Entropy in PRNG",NA,NA
"CVE-2014-0017","The RAND_bytes function in libssh before 0.6.3, when forking is enabled, does not properly reset the state of the OpenSSL pseudo-random number generator (PRNG), which causes the state to be shared between children processes and allows local users to obtain sensitive information by leveraging a pid collision.",2014-03-14,"12:55:05",2014-03-26,"01:55:45","1.9","LOW","LOCAL","MEDIUM","NONE","PARTIAL","NONE","NONE",2014-03-17,"05:53:07","CWE-310","Cryptographic Issues",NA,NA
