"CVE_ID","CPE_Part","CPE_Vendor","CPE_Product"
"CVE-2017-0001","Operating System","Microsoft","Windows_10"
"CVE-2017-0002","Application","Microsoft","Edge"
"CVE-2017-0003","Application","Microsoft","Word"
"CVE-2017-0004","Operating System","Microsoft","Windows_server_2008"
"CVE-2017-0005","Operating System","Microsoft","Windows_10"
"CVE-2017-0006","Application","Microsoft","Excel_viewer "
"CVE-2017-0007","Operating System","Microsoft","Windows_10"
"CVE-2017-0008","Application","Microsoft","Internet_explorer"
"CVE-2017-0009","Application","Microsoft","Internet_explorer"
"CVE-2017-0010","Application","Microsoft","Edge"
"CVE-2017-0011","Application","Microsoft","Edge"
"CVE-2017-0012","Application","Microsoft","Internet_explorer"
"CVE-2017-0014","Operating System","Microsoft","Windows_10"
"CVE-2017-0015","Application","Microsoft","Edge"
"CVE-2017-0016","Operating System","Microsoft","Windows_10"
"CVE-2017-0017","Application","Microsoft","Edge"
"CVE-2017-0018","Application","Microsoft","Internet_explorer"
"CVE-2017-0019","Application","Microsoft","Word"
"CVE-2017-0020","Application","Microsoft","Office_web_apps"
"CVE-2017-0021","Operating System","Microsoft","Windows_10"
"CVE-2017-0022","Operating System","Microsoft","Windows_10"
"CVE-2017-0023","Operating System","Microsoft","Windows_10"
"CVE-2017-0024","Operating System","Microsoft","Windows_10"
"CVE-2017-0025","Operating System","Microsoft","Windows_10"
"CVE-2017-0026","Operating System","Microsoft","Windows_10"
"CVE-2017-0027","Application","Microsoft","Excel"
"CVE-2017-0028",NA,NA,NA
"CVE-2017-0029","Application","Microsoft","Word"
"CVE-2017-0030","Application","Microsoft","Word"
"CVE-2017-0031","Application","Microsoft","Word"
"CVE-2017-0032","Application","Microsoft","Edge"
"CVE-2017-0033","Application","Microsoft","Internet_explorer"
"CVE-2017-0034","Application","Microsoft","Edge"
"CVE-2017-0035","Application","Microsoft","Edge"
"CVE-2017-0037","Application","Microsoft","Internet_explorer"
"CVE-2017-0038","Operating System","Microsoft","Windows_10"
"CVE-2017-0039","Operating System","Microsoft","Windows_server_2008"
"CVE-2017-0040","Application","Microsoft","Internet_explorer"
"CVE-2017-0042","Operating System","Microsoft","Windows_10"
"CVE-2017-0043","Operating System","Microsoft","Windows_10"
"CVE-2017-0045","Operating System","Microsoft","Windows_7"
"CVE-2017-0047","Operating System","Microsoft","Windows_10"
"CVE-2017-0049","Application","Microsoft","Internet_explorer"
"CVE-2017-0050","Operating System","Microsoft","Windows_10"
"CVE-2017-0051","Operating System","Microsoft","Windows_10"
"CVE-2017-0052","Application","Microsoft","Excel_viewer "
"CVE-2017-0053","Application","Microsoft","Word"
"CVE-2017-0055","Operating System","Microsoft","Windows_10"
"CVE-2017-0056","Operating System","Microsoft","Windows_10"
"CVE-2017-0057","Operating System","Microsoft","Windows_10"
"CVE-2017-0058","Operating System","Microsoft","Windows_10"
"CVE-2017-0059","Application","Microsoft","Internet_explorer"
"CVE-2017-0060","Operating System","Microsoft","Windows_10"
"CVE-2017-0061","Operating System","Microsoft","Windows_7"
"CVE-2017-0062","Operating System","Microsoft","Windows_10"
"CVE-2017-0063","Operating System","Microsoft","Windows_10"
"CVE-2017-0064","Application","Microsoft","Internet_explorer"
"CVE-2017-0065","Application","Microsoft","Edge"
"CVE-2017-0066","Application","Microsoft","Edge"
